"submitter_eth","integrator_eth","total_count","merged_count","closed_count","success_rate","grp"
"API","White",1,0,1,0,"API White"
"API","API",3,2,1,0.6667,"API API"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","Hispanic",6,6,0,1,"API Hispanic"
"API","Unknown",9,0,9,0,"API Unknown"
"API","Hispanic",4,4,0,1,"API Hispanic"
"API","White",1,0,1,0,"API White"
"API","White",1,0,1,0,"API White"
"API","Unknown",5,0,5,0,"API Unknown"
"API","API",12,10,2,0.8333,"API API"
"API","API",1,1,0,1,"API API"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",2,2,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",2,2,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","API",1,1,0,1,"API API"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","Hispanic",1,1,0,1,"API Hispanic"
"API","White",1,0,1,0,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",2,1,1,0.5,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","Hispanic",3,3,0,1,"API Hispanic"
"API","Hispanic",4,4,0,1,"API Hispanic"
"API","Hispanic",4,2,2,0.5,"API Hispanic"
"API","Hispanic",2,1,1,0.5,"API Hispanic"
"API","White",1,0,1,0,"API White"
"API","White",2,2,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",2,1,1,0.5,"API White"
"API","White",1,1,0,1,"API White"
"API","White",2,2,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",2,2,0,1,"API White"
"API","White",2,2,0,1,"API White"
"API","White",22,22,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",1,1,0,1,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",2,2,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",2,1,1,0.5,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",2,2,0,1,"API White"
"API","White",12,11,1,0.9167,"API White"
"API","API",1,1,0,1,"API API"
"API","White",2,2,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",3,3,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","API",1,1,0,1,"API API"
"API","White",1,0,1,0,"API White"
"API","API",1,1,0,1,"API API"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",2,2,0,1,"API White"
"API","Unknown",2,0,2,0,"API Unknown"
"API","White",2,0,2,0,"API White"
"API","White",9,0,9,0,"API White"
"API","White",3,3,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",2,0,2,0,"API White"
"API","White",1,0,1,0,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",10,10,0,1,"API White"
"API","Unknown",12,0,12,0,"API Unknown"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","White",10,8,2,0.8,"API White"
"API","White",2,2,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","White",3,2,1,0.6667,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",1,1,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",1,1,0,1,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",5,5,0,1,"API White"
"API","White",1,0,1,0,"API White"
"API","White",24,21,3,0.875,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",1,1,0,1,"API White"
"API","White",1,1,0,1,"API White"
"API","Unknown",1,0,1,0,"API Unknown"
"API","White",1,0,1,0,"API White"
"API","White",2,0,2,0,"API White"
"API","Unknown",5,0,5,0,"API Unknown"
"API","White",1,0,1,0,"API White"
