"submitter_eth","integrator_eth","total_count","merged_count","closed_count","success_rate","grp"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",2,0,2,0,"Black White"
"Black","Unknown",1,0,1,0,"Black Unknown"
"Black","White",1,0,1,0,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,0,1,0,"Black White"
"Black","White",1,0,1,0,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",3,1,2,0.3333,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","API",1,1,0,1,"Black API"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,0,1,0,"Black White"
"Black","API",2,2,0,1,"Black API"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","Unknown",1,0,1,0,"Black Unknown"
"Black","White",201,193,8,0.9602,"Black White"
"Black","White",2,2,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",4,4,0,1,"Black White"
"Black","White",1,0,1,0,"Black White"
"Black","White",1,0,1,0,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,0,1,0,"Black White"
"Black","White",2,1,1,0.5,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","Unknown",1,0,1,0,"Black Unknown"
"Black","White",1,1,0,1,"Black White"
"Black","White",6,3,3,0.5,"Black White"
"Black","API",1,1,0,1,"Black API"
"Black","White",1,1,0,1,"Black White"
"Black","Unknown",1,0,1,0,"Black Unknown"
"Black","White",1,0,1,0,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","Hispanic",2,2,0,1,"Black Hispanic"
"Black","White",2,2,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",2,2,0,1,"Black White"
"Black","Hispanic",1,1,0,1,"Black Hispanic"
"Black","White",1,1,0,1,"Black White"
"Black","White",3,3,0,1,"Black White"
"Black","White",2,2,0,1,"Black White"
"Black","White",1,0,1,0,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",9,9,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","Hispanic",2,2,0,1,"Black Hispanic"
"Black","White",3,1,2,0.3333,"Black White"
"Black","White",2,2,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","API",1,1,0,1,"Black API"
"Black","White",1,1,0,1,"Black White"
"Black","White",1,1,0,1,"Black White"
"Black","White",2,2,0,1,"Black White"
